Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
LYFE,1429,0,0.00,0,0.00,30.89,1429,0
FDEV,1409,0,0.00,0,0.00,25.33,1409,0
EGIS,1360,0,0.00,0,0.00,33.85,1360,0
MSVX,1324,0,0.00,0,0.00,24.38,1324,0
HYGW,1319,0,0.00,0,0.00,36.20,1319,0
UJUL,1312,0,0.00,0,0.00,26.50,1312,0
USMF,1309,0,0.00,0,0.00,38.48,1309,0
NJAN,1302,0,0.00,0,0.00,36.48,402,900
BOXX,1298,0,0.00,0,0.00,100.74,1298,0
BFEB,1294,0,0.00,0,0.00,31.24,1294,0
HYMU,1287,0,0.00,0,0.00,21.15,1287,0
IGHG,1266,0,0.00,0,0.00,72.04,1266,0
PBND,1266,0,0.00,0,0.00,21.71,1266,0
FRNW,1254,0,0.00,0,0.00,22.40,1254,0
HYIN,1215,0,0.00,0,0.00,18.94,1045,170
INTL,1181,0,0.00,0,0.00,20.35,581,600
SMB,1176,0,0.00,0,0.00,16.77,1176,0
OBND,1162,0,0.00,0,0.00,25.63,1162,0
GHYG,1138,0,0.00,0,0.00,41.47,1138,0
BUFG,1135,0,0.00,0,0.00,18.59,1135,0
DFNL,1132,0,0.00,0,0.00,28.99,1132,0
MEAR,1103,0,0.00,0,0.00,49.73,1103,0
FLV,1083,0,0.00,0,0.00,59.25,1083,0
HEEM,1062,0,0.00,0,0.00,23.99,1062,0
SUPP,1055,0,0.00,0,0.00,49.17,1055,0
GVAL,1054,0,0.00,0,0.00,20.53,1054,0
VFMO,1034,0,0.00,0,0.00,114.70,986,48
MOTI,1024,0,0.00,0,0.00,31.70,1024,0
THY,1010,0,0.00,0,0.00,22.41,1010,0
IEDI,1007,0,0.00,0,0.00,37.68,1007,0
EMDV,1002,0,0.00,0,0.00,48.03,1002,0
PBL,1002,0,0.00,0,0.00,24.77,1002,0
YDEC,1000,0,0.00,0,0.00,21.01,1000,0
VEGN,998,0,0.00,0,0.00,34.01,998,0
JCPI,994,0,0.00,0,0.00,46.42,994,0
OMFS,994,0,0.00,0,0.00,37.03,984,10
BLDG,988,0,0.00,0,0.00,26.76,988,0
PSFF,979,0,0.00,0,0.00,22.49,979,0
SPCZ,941,0,0.00,0,0.00,26.00,941,0
BBHY,935,0,0.00,0,0.00,43.67,935,0
PBTP,934,0,0.00,0,0.00,24.48,934,0
OUSM,924,0,0.00,0,0.00,35.97,924,0
VMOT,901,0,0.00,0,0.00,23.84,501,400
TILT,899,0,0.00,0,0.00,157.15,899,0
EUDV,893,0,0.00,0,0.00,43.48,893,0
QJUN,871,0,0.00,0,0.00,19.09,871,0
EFAD,849,0,0.00,0,0.00,36.73,849,0
FNOV,838,0,0.00,0,0.00,36.75,838,0
GSST,820,0,0.00,0,0.00,49.89,820,0
FMAG,819,0,0.00,0,0.00,18.52,818,1
STOT,776,0,0.00,0,0.00,46.38,776,0
UMAY,765,0,0.00,0,0.00,26.51,765,0
DMAR,764,0,0.00,0,0.00,30.21,764,0
TOKE,750,0,0.00,0,0.00,6.83,750,0
BNOV,740,0,0.00,0,0.00,30.86,740,0
WEED,732,0,0.00,0,0.00,5.42,732,0
BJUN,725,0,0.00,0,0.00,31.55,725,0
BDEC,718,0,0.00,0,0.00,33.04,718,0
BMAY,718,0,0.00,0,0.00,29.85,718,0
TBJL,715,0,0.00,0,0.00,19.68,715,0
CLSE,690,0,0.00,0,0.00,14.73,690,0
NOCT,655,0,0.00,0,0.00,37.32,655,0
BJUL,646,0,0.00,0,0.00,32.03,646,0
AESR,639,0,0.00,0,0.00,11.63,639,0
GDMN,638,0,0.00,0,0.00,22.44,638,0
FAUG,630,0,0.00,0,0.00,35.71,629,1
NJUL,621,0,0.00,0,0.00,45.37,121,500
UAUG,619,0,0.00,0,0.00,26.60,619,0
FUNL,612,0,0.00,0,0.00,33.93,612,0
MAGA,602,0,0.00,0,0.00,39.14,602,0
XDQQ,600,0,0.00,0,0.00,21.97,600,0
IBMQ,594,0,0.00,0,0.00,25.06,594,0
DURA,572,0,0.00,0,0.00,31.53,572,0
BOCT,565,0,0.00,0,0.00,32.92,565,0
ENOR,565,0,0.00,0,0.00,24.22,565,0
FEBZ,560,0,0.00,0,0.00,28.50,560,0
MOTG,560,0,0.00,0,0.00,33.58,560,0
MBCC,547,0,0.00,0,0.00,24.32,547,0
GLOV,536,0,0.00,0,0.00,39.35,536,0
FFHG,534,0,0.00,0,0.00,32.42,534,0
GLDB,524,0,0.00,0,0.00,19.27,524,0
FFTG,521,0,0.00,0,0.00,24.26,521,0
XDAT,501,0,0.00,0,0.00,16.20,501,0
NAPR,500,0,0.00,0,0.00,37.16,500,0
XTOC,500,0,0.00,0,0.00,22.23,500,0
VFQY,485,0,0.00,0,0.00,110.57,485,0
GSID,478,0,0.00,0,0.00,50.29,478,0
CVAR,473,0,0.00,0,0.00,24.69,473,0
PSFD,470,0,0.00,0,0.00,24.93,470,0
EWGS,444,0,0.00,0,0.00,61.66,444,0
IETC,422,0,0.00,0,0.00,43.70,422,0
SATO,421,0,0.00,0,0.00,6.17,421,0
SHAG,413,0,0.00,0,0.00,46.66,413,0
HYXU,406,0,0.00,0,0.00,45.38,406,0
OEUR,405,0,0.00,0,0.00,25.55,405,0
ISDB,400,0,0.00,0,0.00,24.98,400,0
QMAR,400,0,0.00,0,0.00,20.77,400,0
ESGG,392,0,0.00,0,0.00,128.07,392,0
BAPR,390,0,0.00,0,0.00,32.27,390,0
DUSA,387,0,0.00,0,0.00,29.16,139,248
DJAN,362,0,0.00,0,0.00,30.55,362,0
FDEM,359,0,0.00,0,0.00,21.84,359,0
XSHQ,355,0,0.00,0,0.00,34.90,355,0
RESE,351,0,0.00,0,0.00,27.98,351,0
FDEC,341,0,0.00,0,0.00,32.93,341,0
HELX,334,0,0.00,0,0.00,30.36,334,0
GEMD,333,0,0.00,0,0.00,39.67,244,89
GTIP,327,0,0.00,0,0.00,48.73,327,0
DDEC,321,0,0.00,0,0.00,31.38,321,0
XDOC,318,0,0.00,0,0.00,22.49,318,0
TMDV,313,0,0.00,0,0.00,47.32,313,0
BRLN,300,0,0.00,0,0.00,52.33,300,0
XDSQ,300,0,0.00,0,0.00,25.55,300,0
UAPR,298,0,0.00,0,0.00,24.91,298,0
DJUL,287,0,0.00,0,0.00,31.78,287,0
PIT,285,0,0.00,0,0.00,48.80,285,0
DMAY,273,0,0.00,0,0.00,32.01,273,0
MDEV,254,0,0.00,0,0.00,19.50,254,0
FIBR,251,0,0.00,0,0.00,83.81,251,0
PWS,243,0,0.00,0,0.00,28.00,243,0
MSMR,235,0,0.00,0,0.00,23.00,235,0
BSEP,230,0,0.00,0,0.00,31.46,230,0
XJR,209,0,0.00,0,0.00,35.85,209,0
QMOM,203,0,0.00,0,0.00,45.20,202,1
KCAL,201,0,0.00,0,0.00,25.58,201,0
FLQS,200,0,0.00,0,0.00,35.30,200,0
WLDR,200,0,0.00,0,0.00,25.09,200,0
TMFS,191,0,0.00,0,0.00,26.65,191,0
FSEP,188,0,0.00,0,0.00,34.59,188,0
MINN,182,0,0.00,0,0.00,21.72,182,0
ROMO,179,0,0.00,0,0.00,24.91,179,0
UNOV,173,0,0.00,0,0.00,28.44,173,0
